Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,g,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,Energy,Power,GB/s,GFLOPs,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,4,1,1,1,1,50,1024,2891776,189267968,65,0.0822839,6100,7.41336,32.7303,2300.18,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,4,2,1,1,1,1,50,1024,2891776,189267968,65,0.051038,4832,9.46746,52.7681,3708.38,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,4,1,1,1,1,50,1024,2891776,189267968,65,0.0489569,4943,10.0966,55.0111,3866.01,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,2,1,1,1,1,50,1024,2891776,189267968,65,0.0400524,4592,11.465,67.2413,4725.51,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,4,1,1,1,1,1,50,1024,2891776,189267968,65,0.0411384,4654,11.313,65.4662,4600.76,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,4,1,1,1,1,50,1024,2891776,189267968,65,0.0417428,4779,11.4487,64.5183,4534.14,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,64,8,2,1,2,1,1,1,1,50,1024,2891776,189267968,65,0.0531148,5716,10.7616,50.7049,3563.38,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,1024,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,32,8,2,2,1,1,1,1,1,50,1024,2891776,189267968,65,0.0544596,5890,10.8154,49.4527,3475.38,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,4,1,1,1,1,50,1024,7488000,457369920,61,0.680252,37231,5.47312,10.2517,672.354,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,4,2,1,1,1,1,50,1024,7488000,457369920,61,0.401439,25714,6.40546,17.3719,1139.33,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,4,1,1,1,1,50,1024,7488000,457369920,61,0.381158,25037,6.56867,18.2962,1199.95,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,2,1,1,1,1,50,1024,7488000,457369920,61,0.309021,22433,7.25938,22.5672,1480.06,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,4,1,1,1,1,1,50,1024,7488000,457369920,61,0.30472,22245,7.30014,22.8857,1500.95,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,4,1,1,1,1,50,1024,7488000,457369920,61,0.330746,23620,7.14144,21.0849,1382.85,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,64,8,2,1,2,1,1,1,1,50,1024,7488000,457369920,61,0.323643,23897,7.38375,21.5476,1413.19,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,360,360,3,3,14,14,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,32,8,2,2,1,1,1,1,1,50,1024,7488000,457369920,61,0.308025,23692,7.6916,22.6402,1484.85,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,4,1,1,1,1,50,1024,2891776,188928000,65,0.220177,12178,5.531,12.2319,858.073,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,4,2,1,1,1,1,50,1024,2891776,188928000,65,0.131208,8434,6.42794,20.5259,1439.91,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,4,1,1,1,1,50,1024,2891776,188928000,65,0.125026,8270,6.61461,21.5409,1511.11,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,2,1,1,1,1,50,1024,2891776,188928000,65,0.0885159,6876,7.7681,30.4259,2134.4,0.4332883,33713,77.80731674
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,4,1,1,1,1,1,50,1024,2891776,188928000,65,0.0921622,7235,7.85029,29.2221,2049.95,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,4,1,1,1,1,50,1024,2891776,188928000,65,0.0977329,8360,8.55393,27.5565,1933.11,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x64_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,64,8,2,1,2,1,1,1,1,50,1024,2891776,188928000,65,0.0901616,7459,8.27293,29.8706,2095.44,,,
1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x32_8x2_nhwc_align1,passed,success,fprop,1,14,14,1024,360,1,1,16,16,1,1,1,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,32,8,2,2,1,1,1,1,1,50,1024,2891776,188928000,65,0.0927895,7567,8.15501,29.0246,2036.09,,,