Blocks,Elements per thread,CGMA,Threads per block,Latency,Energy,Power
8,60,1000,512,3.054233,184.320007,60.35
9,53,1000,512,2.773973,173.067993,62.39
10,48,1000,512,2.523094,163.085999,64.64
11,43,1000,512,2.385752,157.817993,66.15
12,40,1000,512,2.186185,150.112000,68.66
13,36,1000,512,1.990509,140.884003,70.78
14,34,1000,512,2.037928,146.156006,71.72
15,32,1000,512,1.825664,136.862000,74.97
16,30,1000,512,1.857653,140.311996,75.53
17,28,1000,512,1.651682,130.509995,79.02
18,26,1000,512,1.699292,134.082001,78.90
19,25,1000,512,1.580174,129.272003,81.81
20,24,1000,512,1.489339,125.786003,84.46
21,22,1000,512,1.509108,127.017998,84.17
22,21,1000,512,1.392735,121.349998,87.13
24,20,1000,512,1.300792,119.685997,92.01
25,19,1000,512,1.373302,124.622002,90.75
26,18,1000,512,1.365384,125.491997,91.91
28,17,1000,512,1.235522,120.933998,97.88
30,16,1000,512,1.137357,116.823997,102.72
32,15,1000,512,1.174298,119.632004,101.88
34,14,1000,512,1.173417,122.454002,104.36
36,13,1000,512,1.055438,115.781998,109.70
40,12,1000,512,0.946315,112.417999,118.80
43,11,1000,512,1.037550,121.795998,117.39
48,10,1000,512,1.036392,126.816002,122.36
53,9,1000,512,0.926612,122.157997,131.83
60,8,1000,512,0.795450,118.225998,148.63
68,7,1000,512,0.844583,127.334000,150.77
80,6,1000,512,0.838811,139.813995,166.68
96,5,1000,512,1.177524,158.889999,134.94
120,4,1000,512,1.047973,163.022003,155.56
160,3,1000,512,0.559996,138.764008,247.79
240,2,1000,512,0.757862,186.003998,245.43